,Participant,protocol,device,D,ID,W,MT,xT,yT,x_end,y_end,x0,y0
48,955152,pvp,mouse,38.0,4.8861320354417215,1.33,3.297083616256714,166.82,19.19,167.2,19.285,128.915,23.845
49,955152,pvp,mouse,38.0,4.8861320354417215,1.33,0.8804538249969482,166.915,57.095,167.01,57.665,167.2,19.285
50,955152,pvp,mouse,38.0,4.8861320354417215,1.33,1.0872955322265625,168.055,19.095,168.34,18.905,167.01,57.665
51,955152,pvp,mouse,38.0,4.8861320354417215,1.33,1.5763418674468994,203.965,31.35,204.25,30.97,168.34,18.905
52,955152,pvp,mouse,38.0,4.8861320354417215,1.33,1.3115897178649902,191.235,67.165,190.95,67.26,204.25,30.97
53,955152,pvp,mouse,38.0,4.8861320354417215,1.33,1.824845790863037,179.93,103.455,179.74,103.55,190.95,67.26
54,955152,pvp,mouse,38.0,4.8861320354417215,1.33,1.2961797714233398,217.26500000000001,110.105,217.645,110.105,179.74,103.455
55,955152,pvp,mouse,38.0,4.8861320354417215,1.33,1.705545425415039,194.655,140.6,194.56,140.03,217.645,110.105
56,955152,pvp,mouse,38.0,4.8861320354417215,1.33,1.1124305725097656,157.79500000000002,150.195,158.27,149.91,194.56,140.03
57,955152,pvp,mouse,38.0,4.8861320354417215,1.33,1.6394436359405518,120.175,155.8,120.27,155.705,158.27,149.91
58,955152,pvp,mouse,38.0,4.8861320354417215,1.33,2.0308690071105957,82.365,159.695,82.27,159.695,120.27,155.705
59,955152,pvp,mouse,38.0,4.8861320354417215,1.33,1.7758510112762451,46.265,147.63,46.36,148.01,82.27,159.695
60,955152,pvp,mouse,38.0,4.8861320354417215,1.33,1.5455389022827148,68.59,116.85,68.59,116.47,46.36,148.01
61,955152,pvp,mouse,38.0,4.8861320354417215,1.33,1.3761134147644043,85.69,82.935,85.595,82.84,68.59,116.47
62,955152,pvp,mouse,38.0,4.8861320354417215,1.33,1.2639529705047607,106.02,114.95,106.02,114.95,85.595,82.84
63,955152,pvp,mouse,95.0,6.178487014945737,1.33,1.1749439239501953,129.96,86.64,130.34,86.925,120.365,96.425
64,955152,pvp,mouse,95.0,6.178487014945737,1.33,1.6005220413208008,73.53,163.02,73.53,163.305,130.34,86.925
65,955152,pvp,mouse,95.0,6.178487014945737,1.33,1.6251366138458252,158.745,121.03,158.555,121.6,73.53,163.305
66,955152,pvp,mouse,95.0,6.178487014945737,1.33,1.3042120933532715,250.04,147.155,250.135,147.44,158.555,121.6
67,955152,pvp,mouse,95.0,6.178487014945737,1.33,1.3511123657226562,159.695,117.515,160.17000000000002,117.61,250.135,147.44
68,955152,pvp,mouse,95.0,6.178487014945737,1.33,1.1113111972808838,72.58,79.515,72.485,79.8,160.17000000000002,117.61
69,955152,pvp,mouse,95.0,6.178487014945737,1.33,1.5304765701293945,8.17,149.34,7.695,149.72,72.485,79.8
70,955152,pvp,mouse,95.0,6.178487014945737,1.33,1.5219922065734863,15.39,54.53,15.58,54.72,7.695,149.72
