,Participant,protocol,device,D,ID,W,tau,Dtau,sigma0,omega,C,rsq,pvptype
382,642382.0,fitts,controller,87.4,4.655954332292595,3.61,0.49,41.59052252455757,16.921227117990842,2.1728202180212444,2.068129029368933,0.9787793611648156,Centroid
383,642382.0,fitts,controller,133.0,6.658211482751796,1.33,0.78,35.04096219270271,18.372768149230183,3.2742070614994523,1.6771071065443417,0.8848507137880918,Centroid
384,642382.0,pvp,touchpad,19.0,3.934112064343543,1.33,0.34,10.83675858993947,5.680519847542085,1.0751917432801446,4.420111086174071,0.9376172553964732,Centroid
385,642382.0,pvp,touchpad,87.4,6.0599238176520585,1.33,0.41,24.10276101619614,37.34966628926989,1.416526874323437,7.178134426646838,0.973830204456518,Centroid
386,642382.0,pvp,touchpad,133.0,6.658211482751796,1.33,0.36,81.34880681396663,54.37523850844608,1.6059905176106954,6.074498773980543,0.9854269578560612,Centroid
387,642382.0,pvp,touchpad,64.6,5.631436930520657,1.33,0.35,38.0666212860905,24.29841324981619,1.2865343224811974,6.718820520733162,0.9807495766500408,Centroid
388,642382.0,pvp,touchpad,41.8,5.01919356523331,1.33,0.36,25.24927086118841,14.62337088621448,1.1031274604042407,7.019960949663341,0.9626703616931492,Centroid
389,642382.0,pvp,touchpad,110.2,6.389861771052448,1.33,0.37,68.81683799368953,31.557659665696416,1.5888069487481196,5.672487895957031,0.9937069791206208,Centroid
390,642382.0,pvp,mouse,133.0,6.658211482751796,1.33,0.31,59.39215110144461,27.72067582043312,1.9732527784872316,3.0998473220687126,0.8472463935734784,Centroid
391,642382.0,pvp,mouse,64.6,5.631436930520657,1.33,0.36,11.802517433772524,14.860077133364896,1.2030485738148775,6.513501769610939,0.9922376599212684,Centroid
392,642382.0,pvp,mouse,41.8,5.01919356523331,1.33,0.32,17.507537099481727,8.643728670831887,1.202418123010441,5.457005395369426,0.9642467666888368,Centroid
393,642382.0,pvp,mouse,87.4,6.0599238176520585,1.33,0.35,29.99596042032256,17.982803978661277,1.3253590707995722,5.591347616614406,0.9918687110195812,Centroid
